Times_50,Iterations_50,Times_100,Iterations_100
4.983593702316284,30,3.3468921184539795,27
5.90012526512146,31,2.1594231128692627,26
3.6267385482788086,30,1.4461305141448975,25
3.2749409675598145,29,1.4780502319335938,25
3.6617658138275146,26,1.5005486011505127,25
5.927390098571777,30,1.571101188659668,27
4.422102212905884,30,1.5725717544555664,27
4.324397325515747,28,1.993584394454956,27
4.009335279464722,30,3.409728765487671,26
2.1631674766540527,27,1.5575437545776367,26
0.8775858879089355,30,1.5356454849243164,26
0.9077854156494141,31,1.4036645889282227,24
0.7990715503692627,28,1.441392183303833,24
0.879554033279419,30,1.5669822692871094,27
0.8729860782623291,30,1.4711763858795166,25
0.8825948238372803,30,2.358941078186035,26
0.9274632930755615,29,2.8282618522644043,24
1.9315991401672363,30,1.6255533695220947,27
1.9290845394134521,31,1.4769706726074219,25
0.7063338756561279,23,1.5605270862579346,27
0.9158656597137451,31,1.3384613990783691,23
0.8786876201629639,30,1.4800238609313965,25
0.8883748054504395,30,1.52113676071167,26
0.829885721206665,29,4.573475122451782,26
0.871943473815918,30,1.5642154216766357,27
0.8553838729858398,29,1.4560165405273438,25
0.8256146907806396,28,1.505143404006958,25
0.8942699432373047,30,1.5590980052947998,27
0.8559708595275879,29,1.5372204780578613,26
0.8281877040863037,29,1.477616786956787,25
